*************** oc: 0 ***************
0.0582398, -0.0343057, -0.0518574, 0.0654201, 0.128447, 0.0901521, 0.0957367, 0.102917, 0.0303166, -0.0789828, 
0.884767, 1.57567, 1.55971, 1.58923, 1.60519, 1.61875, 1.62752, 1.58684, 1.48551, 1.44004, 
0.891149, 1.60279, 1.53737, 1.54216, 1.60678, 1.59242, 1.5645, 1.59561, 1.59162, 1.53897, 
0.876789, 1.59082, 1.50067, 1.52939, 1.6347, 1.61157, 1.55173, 1.64348, 1.65864, 1.60359, 
0.838494, 1.5621, 1.50067, 1.54854, 1.67779, 1.68576, 1.62114, 1.62832, 1.57088, 1.50945, 
0.864822, 1.55093, 1.48791, 1.53578, 1.65146, 1.673, 1.62593, 1.60598, 1.53099, 1.53019, 
0.898329, 1.5996, 1.54774, 1.53099, 1.58923, 1.59481, 1.58045, 1.54934, 1.59402, 1.65944, 
0.869608, 1.58364, 1.5996, 1.59322, 1.60838, 1.6363, 1.62673, 1.56928, 1.55732, 1.60598, 
0.837696, 1.48791, 1.48631, 1.53179, 1.55093, 1.62034, 1.6722, 1.62912, 1.57327, 1.57567, 
0.808975, 1.47674, 1.46477, 1.49269, 1.4536, 1.50147, 1.60519, 1.54535, 1.50865, 1.5278, 
*************** oc: 1 ***************
-4.56362, -4.06481, -4.01176, -4.06424, -4.14035, -4.13516, -4.08788, -4.1317, -4.11844, -4.07058, 
-3.82031, -2.99397, -2.94207, -2.9686, -3.03953, -3.03664, -3.05971, -3.04068, -3.01819, -2.92247, 
-3.79609, -2.98186, -2.93746, -2.91901, -2.94034, -2.98417, -3.00493, -2.99974, -2.9242, -2.9092, 
-3.79725, -2.97437, -2.92939, -2.85904, -2.90863, -2.97033, -2.95361, -2.95418, -2.98475, -2.91497, 
-3.75746, -2.97091, -2.88787, -2.84981, -2.89767, -2.96918, -2.95649, -2.9588, -2.9686, -2.91901, 
-3.75227, -2.92535, -2.88499, -2.83539, -2.89594, -2.96918, -3.00666, -2.93746, -2.93342, -2.87403, 
-3.79206, -2.92593, -2.855, -2.84289, -2.86884, -2.96687, -2.94726, -2.95591, -2.89479, -2.88268, 
-3.77476, -2.95822, -2.89133, -2.85096, -2.85961, -2.91555, -2.95707, -2.92535, -2.88787, -2.94669, 
-3.78341, -2.93631, -2.89248, -2.85385, -2.87403, -2.89594, -2.94899, -2.93285, -2.91612, -2.88672, 
-3.76957, -2.89652, -2.82732, -2.83424, -2.8302, -2.86365, -2.91036, -2.95476, -2.90401, -2.87922, 
*************** oc: 2 ***************
-0.264312, -0.270912, -0.278614, -0.281639, -0.278614, -0.276963, -0.275863, -0.270637, -0.269812, -0.281914, 
-0.10589, -0.0371301, -0.0440061, -0.0566578, -0.0616085, -0.0561078, -0.0522572, -0.0484067, -0.043181, -0.0473065, 
